z1,z2
1.762839317321777344e+00,1.576755762100219727e+00
3.178271055221557617e-01,-3.616815209388732910e-01
1.394157648086547852e+00,1.437384635210037231e-03
1.566086649894714355e+00,7.155016064643859863e-04
8.139688968658447266e-01,-2.467315793037414551e-01
-4.517782330513000488e-01,2.237582206726074219e-02
5.174664855003356934e-01,1.824212372303009033e-01
1.116794586181640625e+00,1.938656419515609741e-01
-1.092229843139648438e+00,3.922347128391265869e-01
-8.625465631484985352e-01,1.607831597328186035e+00
-1.122339248657226562e+00,5.832240581512451172e-01
-7.650566101074218750e-02,-4.383425712585449219e-01
-4.716791808605194092e-01,-2.438988536596298218e-02
-1.487047553062438965e+00,-5.419385433197021484e-01
1.071860074996948242e+00,-5.227689445018768311e-02
4.123961329460144043e-01,1.438005685806274414e+00
-8.075469732284545898e-01,3.899894654750823975e-01
1.727870106697082520e-02,2.547193765640258789e-01
-2.335080802440643311e-01,2.525467872619628906e-01
-1.405250906944274902e+00,6.492348015308380127e-02
-1.630079865455627441e+00,-2.355722188949584961e-01
-7.216898202896118164e-01,-4.090172797441482544e-02
5.044586658477783203e-01,3.261381760239601135e-02
-1.135396003723144531e+00,5.035154819488525391e-01
-3.204888105392456055e-02,-4.756484627723693848e-01
5.850893259048461914e-01,-9.498683363199234009e-02
2.647426128387451172e-01,-5.967508554458618164e-01
-6.454371809959411621e-01,6.068065166473388672e-01
-1.708084583282470703e+00,-1.699135750532150269e-01
-1.426630020141601562e+00,-5.587093234062194824e-01
8.451276421546936035e-01,6.763221323490142822e-02
-9.149146080017089844e-02,5.268389582633972168e-01
4.021300375461578369e-02,-1.150388360023498535e+00
5.273901224136352539e-01,2.972944259643554688e+00
5.207388997077941895e-01,3.080400228500366211e-01
1.884086430072784424e-02,-4.373052120208740234e-01
2.022097826004028320e+00,6.928195953369140625e-01
-4.723028242588043213e-01,2.476238757371902466e-01
1.783407032489776611e-01,8.031316995620727539e-01
1.476840138435363770e+00,1.622963905334472656e+00
-8.370405435562133789e-02,-1.071108698844909668e+00
9.312610626220703125e-01,4.453473389148712158e-01
2.002041816711425781e+00,2.676222324371337891e-01
3.246392309665679932e-01,1.598561853170394897e-01
